id,name,description
T1140,Deobfuscate/Decode Files or Information,'Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis. They may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it. Methods for doing that include built-in functionality of malware or by using utilities present on the system.'
T1610,Deploy Container,'Adversaries may deploy a container into an environment to facilitate execution or evade defenses. In some cases'
T1587,Develop Capabilities,'Adversaries may build capabilities that can be used during targeting. Rather than purchasing'
T1587.001,Malware,'Adversaries may develop malware and malware components that can be used during targeting. Building malicious software can include the development of payloads'
T1587.002,Code Signing Certificates,'Adversaries may create self-signed code signing certificates that can be used during targeting. Code signing is the process of digitally signing executables and scripts to confirm the software author and guarantee that the code has not been altered or corrupted. Code signing provides a level of authenticity for a program from the developer and a guarantee that the program has not been tampered with. Users and/or security tools may trust a signed piece of code more than an unsigned piece of code even if they don't know who issued the certificate or who the author is.'
T1587.003,Digital Certificates,'Adversaries may create self-signed SSL/TLS certificates that can be used during targeting. SSL/TLS certificates are designed to instill trust. They include information about the key'
T1587.004,Exploits,'Adversaries may develop exploits that can be used during targeting. An exploit takes advantage of a bug or vulnerability in order to cause unintended or unanticipated behavior to occur on computer hardware or software. Rather than finding/modifying exploits from online or purchasing them from exploit vendors'
T1652,Device Driver Discovery,'Adversaries may attempt to enumerate local device drivers on a victim host. Information about device drivers may highlight various insights that shape follow-on behaviors'
T1006,Direct Volume Access,'Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structures. This technique may bypass Windows file access controls as well as file system monitoring tools.'
T1561,Disk Wipe,'Adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources. With direct write access to a disk'
T1561.001,Disk Content Wipe,'Adversaries may erase the contents of storage devices on specific systems or in large numbers in a network to interrupt availability to system and network resources.'
T1561.002,Disk Structure Wipe,'Adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to interrupt availability to system and network resources.'
T1484,Domain or Tenant Policy Modification,'Adversaries may modify the configuration settings of a domain or identity tenant to evade defenses and/or escalate privileges in centrally managed environments. Such services provide a centralized means of managing identity resources such as devices and accounts'
T1484.001,Group Policy Modification,'Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain'
T1484.002,Trust Modification,'Adversaries may add new domain trusts'
T1482,Domain Trust Discovery,'Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments. Domain trusts provide a mechanism for a domain to allow access to resources based on the authentication procedures of another domain. Domain trusts allow the users of the trusted domain to access resources in the trusting domain. The information discovered may help the adversary conduct SID-History Injection'
T1189,Drive-by Compromise,'Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. With this technique'
T1568,Dynamic Resolution,'Adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations. This may be achieved by using malware that shares a common algorithm with the infrastructure the adversary uses to receive the malware's communications. These calculations can be used to dynamically adjust parameters such as the domain name'
T1568.001,Fast Flux DNS,'Adversaries may use Fast Flux DNS to hide a command and control channel behind an array of rapidly changing IP addresses linked to a single domain resolution. This technique uses a fully qualified domain name'
T1568.002,Domain Generation Algorithms,'Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destination domain for command and control traffic rather than relying on a list of static IP addresses or domains. This has the advantage of making it much harder for defenders to block'
T1568.003,DNS Calculation,'Adversaries may perform calculations on addresses returned in DNS results to determine which port and IP address to use for command and control'
T1114,Email Collection,'Adversaries may target user email to collect sensitive information. Emails may contain sensitive data'
T1114.001,Local Email Collection,'Adversaries may target user email on local systems to collect sensitive information. Files containing email data can be acquired from a user’s local system'
T1114.002,Remote Email Collection,'Adversaries may target an Exchange server'
T1114.003,Email Forwarding Rule,'Adversaries may setup email forwarding rules to collect sensitive information. Adversaries may abuse email forwarding rules to monitor the activities of a victim'
T1573,Encrypted Channel,'Adversaries may employ an encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Despite the use of a secure algorithm'
T1573.001,Symmetric Cryptography,'Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symmetric encryption algorithms include AES'
T1573.002,Asymmetric Cryptography,'Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Asymmetric cryptography'
T1499,Endpoint Denial of Service,'Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users. Endpoint DoS can be performed by exhausting the system resources those services are hosted on or exploiting the system to cause a persistent crash condition. Example services include websites'
T1499.001,OS Exhaustion Flood,'Adversaries may launch a denial of service (DoS) attack targeting an endpoint's operating system (OS). A system's OS is responsible for managing the finite resources as well as preventing the entire system from being overwhelmed by excessive demands on its capacity. These attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resources that an OS self-imposes.'
T1499.002,Service Exhaustion Flood,'Adversaries may target the different network services provided by systems to conduct a denial of service (DoS). Adversaries often target the availability of DNS and web services'
T1499.003,Application Exhaustion Flood,'Adversaries may target resource intensive features of applications to cause a denial of service (DoS)'
T1499.004,Application or System Exploitation,'Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users. Some systems may automatically restart critical applications and services when crashes occur'
T1611,Escape to Host,'Adversaries may break out of a container to gain access to the underlying host. This can allow an adversary access to other containerized resources from the host level or to the host itself. In principle'
T1585,Establish Accounts,'Adversaries may create and cultivate accounts with services that can be used during targeting. Adversaries can create accounts that can be used to build a persona to further operations. Persona development consists of the development of public information'
T1585.001,Social Media Accounts,'Adversaries may create and cultivate social media accounts that can be used during targeting. Adversaries can create social media accounts that can be used to build a persona to further operations. Persona development consists of the development of public information'
T1585.002,Email Accounts,'Adversaries may create email accounts that can be used during targeting. Adversaries can use accounts created with email providers to further their operations'
T1585.003,Cloud Accounts,'Adversaries may create accounts with cloud providers that can be used during targeting. Adversaries can use cloud accounts to further their operations'
T1546,Event Triggered Execution,'Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries. Cloud environments may also support various functions and services that monitor and can be invoked in response to specific cloud events.'
T1546.001,Change Default File Association,'Adversaries may establish persistence by executing malicious content triggered by a file type association. When a file is opened'
T1546.002,Screensaver,'Adversaries may establish persistence by executing malicious content triggered by user inactivity. Screensavers are programs that execute after a configurable time of user inactivity and consist of Portable Executable (PE) files with a .scr file extension. The Windows screensaver application scrnsave.scr is located in C:\Windows\System32\'
T1546.003,Windows Management Instrumentation Event Subscription,'Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription. WMI can be used to install event filters'
T1546.004,Unix Shell Configuration Modification,'Adversaries may establish persistence through executing malicious commands triggered by a user’s shell. User Unix Shells execute several configuration scripts at different points throughout the session based on events. For example'
T1546.005,Trap,'Adversaries may establish persistence by executing malicious content triggered by an interrupt signal. The trap command allows programs and shells to specify commands that will be executed upon receiving interrupt signals. A common situation is a script allowing for graceful termination and handling of common keyboard interrupts like ctrl+c and ctrl+d.'
T1546.006,LC_LOAD_DYLIB Addition,'Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded. The LC_LOAD_DYLIB header in a Mach-O binary tells macOS and OS X which dynamic libraries (dylibs) to load during execution time. These can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies. There are tools available to perform these changes.'
T1546.007,Netsh Helper DLL,'Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs. Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system. It contains functionality to add helper DLLs for extending functionality of the utility. The paths to registered netsh.exe helper DLLs are entered into the Windows Registry at HKLM\SOFTWARE\Microsoft\Netsh.'
T1546.008,Accessibility Features,'Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. Windows contains accessibility features that may be launched with a key combination before a user has logged in (ex: when the user is on the Windows logon screen). An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.'
T1546.009,AppCert DLLs,'Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key under HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\ are loaded into every process that calls the ubiquitously used application programming interface (API) functions CreateProcess'
T1546.010,AppInit DLLs,'Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows or HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Windows are loaded by user32.dll into every process that loads user32.dll. In practice this is nearly every program'
T1546.011,Application Shimming,'Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims. The Microsoft Windows Application Compatibility Infrastructure/Framework (Application Shim) was created to allow for backward compatibility of software as the operating system codebase changes over time. For example'
T1546.012,Image File Execution Options Injection,'Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers. IFEOs enable a developer to attach a debugger to an application. When a process is created'
T1546.013,PowerShell Profile,'Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles. A PowerShell profile (profile.ps1) is a script that runs when PowerShell starts and can be used as a logon script to customize user environments.'
T1546.014,Emond,'Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond). Emond is a Launch Daemon that accepts events from various services'
T1546.015,Component Object Model Hijacking,'Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects. COM is a system within Windows to enable interaction between software components through the operating system. References to various COM objects are stored in the Registry.'
T1546.016,Installer Packages,'Adversaries may establish persistence and elevate privileges by using an installer to trigger the execution of malicious content. Installer packages are OS specific and contain the resources an operating system needs to install applications on a system. Installer packages can include scripts that run prior to installation as well as after installation is complete. Installer scripts may inherit elevated permissions when executed. Developers often use these scripts to prepare the environment for installation'
T1546.017,Udev Rules,'Adversaries may maintain persistence through executing malicious content triggered using udev rules. Udev is the Linux kernel device manager that dynamically manages device nodes'
T1480,Execution Guardrails,'Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. Guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign. Values an adversary can provide about a target system or environment to use as guardrails may include specific network share names'
T1480.001,Environmental Keying,'Adversaries may environmentally key payloads or other features of malware to evade defenses and constraint execution to a specific target environment. Environmental keying uses cryptography to constrain execution or actions based on adversary supplied environment specific conditions that are expected to be present on the target. Environmental keying is an implementation of Execution Guardrails that utilizes cryptographic techniques for deriving encryption/decryption keys from specific types of values in a given computing environment.'
T1480.002,Mutual Exclusion,'Adversaries may constrain execution or actions based on the presence of a mutex associated with malware. A mutex is a locking mechanism used to synchronize access to a resource. Only one thread or process can acquire a mutex at a given time.'
T1048,Exfiltration Over Alternative Protocol,'Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.'
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,'Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.'
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,'Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.'
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,'Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.'
T1041,Exfiltration Over C2 Channel,'Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.'
T1011,Exfiltration Over Other Network Medium,'Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection'
T1011.001,Exfiltration Over Bluetooth,'Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection'
T1052,Exfiltration Over Physical Medium,'Adversaries may attempt to exfiltrate data via a physical medium'
T1052.001,Exfiltration over USB,'Adversaries may attempt to exfiltrate data over a USB connected physical device. In certain circumstances'
T1567,Exfiltration Over Web Service,'Adversaries may use an existing'
T1567.001,Exfiltration to Code Repository,'Adversaries may exfiltrate data to a code repository rather than over their primary command and control channel. Code repositories are often accessible via an API (ex: https://api.github.com). Access to these APIs are often over HTTPS'
T1567.002,Exfiltration to Cloud Storage,'Adversaries may exfiltrate data to a cloud storage service rather than over their primary command and control channel. Cloud storage services allow for the storage'
T1567.003,Exfiltration to Text Storage Sites,'Adversaries may exfiltrate data to text storage sites instead of their primary command and control channel. Text storage sites'
T1567.004,Exfiltration Over Webhook,'Adversaries may exfiltrate data to a webhook endpoint rather than over their primary command and control channel. Webhooks are simple mechanisms for allowing a server to push data over HTTP/S to a client without the need for the client to continuously poll the server. Many public and commercial services'
T1190,Exploit Public-Facing Application,'Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. The weakness in the system can be a software bug'
T1203,Exploitation for Client Execution,'Adversaries may exploit software vulnerabilities in client applications to execute code. Vulnerabilities can exist in software due to unsecure coding practices that can lead to unanticipated behavior. Adversaries can take advantage of certain vulnerabilities through targeted exploitation for the purpose of arbitrary code execution. Oftentimes the most valuable exploits to an offensive toolkit are those that can be used to obtain code execution on a remote system because they can be used to gain access to that system. Users will expect to see files related to the applications they commonly used to do work'
T1212,Exploitation for Credential Access,'Adversaries may exploit software vulnerabilities in an attempt to collect credentials. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program'
T1211,Exploitation for Defense Evasion,'Adversaries may exploit a system or application vulnerability to bypass security features. Exploitation of a vulnerability occurs when an adversary takes advantage of a programming error in a program'
T1068,Exploitation for Privilege Escalation,'Adversaries may exploit software vulnerabilities in an attempt to elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program'
T1210,Exploitation of Remote Services,'Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program'
T1133,External Remote Services,'Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs'
T1008,Fallback Channels,'Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.'
T1083,File and Directory Discovery,'Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system. Adversaries may use the information from File and Directory Discovery during automated discovery to shape follow-on behaviors'
T1222,File and Directory Permissions Modification,'Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files. File and directory permissions are commonly managed by ACLs configured by the file or directory owner'
T1222.001,Windows File and Directory Permissions Modification,'Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files. File and directory permissions are commonly managed by ACLs configured by the file or directory owner'
T1222.002,Linux and Mac File and Directory Permissions Modification,'Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files. File and directory permissions are commonly managed by ACLs configured by the file or directory owner'
T1657,Financial Theft,'Adversaries may steal monetary resources from targets through extortion'
T1495,Firmware Corruption,'Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot'
T1187,Forced Authentication,'Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept.'
T1606,Forge Web Credentials,'Adversaries may forge credential materials that can be used to gain access to web applications or Internet services. Web applications and services (hosted in cloud SaaS environments or on-premise servers) often use session cookies'
T1606.001,Web Cookies,'Adversaries may forge web cookies that can be used to gain access to web applications or Internet services. Web applications and services (hosted in cloud SaaS environments or on-premise servers) often use session cookies to authenticate and authorize user access.'
T1606.002,SAML Tokens,'An adversary may forge SAML tokens with any permissions claims and lifetimes if they possess a valid SAML token-signing certificate. The default lifetime of a SAML token is one hour'
T1592,Gather Victim Host Information,'Adversaries may gather information about the victim's hosts that can be used during targeting. Information about hosts may include a variety of details'
T1592.001,Hardware,'Adversaries may gather information about the victim's host hardware that can be used during targeting. Information about hardware infrastructure may include a variety of details such as types and versions on specific hosts'
T1592.002,Software,'Adversaries may gather information about the victim's host software that can be used during targeting. Information about installed software may include a variety of details such as types and versions on specific hosts'
T1592.003,Firmware,'Adversaries may gather information about the victim's host firmware that can be used during targeting. Information about host firmware may include a variety of details such as type and versions on specific hosts'
T1592.004,Client Configurations,'Adversaries may gather information about the victim's client configurations that can be used during targeting. Information about client configurations may include a variety of details and settings'
T1589,Gather Victim Identity Information,'Adversaries may gather information about the victim's identity that can be used during targeting. Information about identities may include a variety of details'
T1589.001,Credentials,'Adversaries may gather credentials that can be used during targeting. Account credentials gathered by adversaries may be those directly associated with the target victim organization or attempt to take advantage of the tendency for users to use the same passwords across personal and business accounts.'
T1589.002,Email Addresses,'Adversaries may gather email addresses that can be used during targeting. Even if internal instances exist'
T1589.003,Employee Names,'Adversaries may gather employee names that can be used during targeting. Employee names be used to derive email addresses as well as to help guide other reconnaissance efforts and/or craft more-believable lures.'
T1590,Gather Victim Network Information,'Adversaries may gather information about the victim's networks that can be used during targeting. Information about networks may include a variety of details'
T1590.001,Domain Properties,'Adversaries may gather information about the victim's network domain(s) that can be used during targeting. Information about domains and their properties may include a variety of details'
T1590.002,DNS,'Adversaries may gather information about the victim's DNS that can be used during targeting. DNS information may include a variety of details'
T1590.003,Network Trust Dependencies,'Adversaries may gather information about the victim's network trust dependencies that can be used during targeting. Information about network trusts may include a variety of details'
T1590.004,Network Topology,'Adversaries may gather information about the victim's network topology that can be used during targeting. Information about network topologies may include a variety of details'
T1590.005,IP Addresses,'Adversaries may gather the victim's IP addresses that can be used during targeting. Public IP addresses may be allocated to organizations by block'
T1590.006,Network Security Appliances,'Adversaries may gather information about the victim's network security appliances that can be used during targeting. Information about network security appliances may include a variety of details'
T1591,Gather Victim Org Information,'Adversaries may gather information about the victim's organization that can be used during targeting. Information about an organization may include a variety of details'
T1591.001,Determine Physical Locations,'Adversaries may gather the victim's physical location(s) that can be used during targeting. Information about physical locations of a target organization may include a variety of details'
T1591.002,Business Relationships,'Adversaries may gather information about the victim's business relationships that can be used during targeting. Information about an organization’s business relationships may include a variety of details'
T1591.003,Identify Business Tempo,'Adversaries may gather information about the victim's business tempo that can be used during targeting. Information about an organization’s business tempo may include a variety of details'
T1591.004,Identify Roles,'Adversaries may gather information about identities and roles within the victim organization that can be used during targeting. Information about business roles may reveal a variety of targetable details'
T1615,Group Policy Discovery,'Adversaries may gather information on Group Policy settings to identify paths for privilege escalation'
T1200,Hardware Additions,'Adversaries may introduce computer accessories'
T1564,Hide Artifacts,'Adversaries may attempt to hide artifacts associated with their behaviors to evade detection. Operating systems may have features to hide various artifacts'
T1564.001,Hidden Files and Directories,'Adversaries may set files and directories to be hidden to evade detection mechanisms. To prevent normal users from accidentally changing special files on a system'
T1564.002,Hidden Users,'Adversaries may use hidden users to hide the presence of user accounts they create or modify. Administrators may want to hide users when there are many user accounts on a given system or if they want to hide their administrative or other management accounts from other users.'
T1564.003,Hidden Window,'Adversaries may use hidden windows to conceal malicious activity from the plain sight of users. In some cases'
T1564.004,NTFS File Attributes,'Adversaries may use NTFS file attributes to hide their malicious data in order to evade detection. Every New Technology File System (NTFS) formatted partition contains a Master File Table (MFT) that maintains a record for every file/directory on the partition. Within MFT entries are file attributes'
T1564.005,Hidden File System,'Adversaries may use a hidden file system to conceal malicious activity from users and security tools. File systems provide a structure to store and access data from physical storage. Typically'
T1564.006,Run Virtual Instance,'Adversaries may carry out malicious operations using a virtual instance to avoid detection. A wide variety of virtualization technologies exist that allow for the emulation of a computer or computing environment. By running malicious code inside of a virtual instance'
T1564.007,VBA Stomping,'Adversaries may hide malicious Visual Basic for Applications (VBA) payloads embedded within MS Office documents by replacing the VBA source code with benign data.'
T1564.008,Email Hiding Rules,'Adversaries may use email rules to hide inbound emails in a compromised user's mailbox. Many email clients allow users to create inbox rules for various email functions'
T1564.009,Resource Forking,'Adversaries may abuse resource forks to hide malicious code or executables to evade detection and bypass security applications. A resource fork provides applications a structured way to store resources such as thumbnail images'
T1564.010,Process Argument Spoofing,'Adversaries may attempt to hide process command-line arguments by overwriting process memory. Process command-line arguments are stored in the process environment block (PEB)'
T1564.011,Ignore Process Interrupts,'Adversaries may evade defensive mechanisms by executing commands that hide from process interrupt signals. Many operating systems use signals to deliver messages to control process behavior. Command interpreters often include specific commands/flags that ignore errors and other hangups'
T1564.012,File/Path Exclusions,'Adversaries may attempt to hide their file-based artifacts by writing them to specific folders or file names excluded from antivirus (AV) scanning and other defensive capabilities. AV and other file-based scanners often include exclusions to optimize performance as well as ease installation and legitimate use of applications. These exclusions may be contextual (e.g.'
T1665,Hide Infrastructure,'Adversaries may manipulate network traffic in order to hide and evade detection of their C2 infrastructure. This can be accomplished in various ways including by identifying and filtering traffic from defensive tools'
T1574,Hijack Execution Flow,'Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs. Hijacking execution flow can be for the purposes of persistence'
T1574.001,DLL Search Order Hijacking,'Adversaries may execute their own malicious payloads by hijacking the search order used to load DLLs. Windows systems use a common method to look for required DLLs to load into a program. Hijacking DLL loads may be for the purpose of establishing persistence as well as elevating privileges and/or evading restrictions on file execution.'
T1574.002,DLL Side-Loading,'Adversaries may execute their own malicious payloads by side-loading DLLs. Similar to DLL Search Order Hijacking'
T1574.004,Dylib Hijacking,'Adversaries may execute their own payloads by placing a malicious dynamic library (dylib) with an expected name in a path a victim application searches at runtime. The dynamic loader will try to find the dylibs based on the sequential order of the search paths. Paths to dylibs may be prefixed with @rpath'
T1574.005,Executable Installer File Permissions Weakness,'Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer. These processes may automatically execute specific binaries as part of their functionality or to perform other actions. If the permissions on the file system directory containing a target binary'
T1574.006,Dynamic Linker Hijacking,'Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries. During the execution preparation phase of a program'
T1574.007,Path Interception by PATH Environment Variable,'Adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries. The PATH environment variable contains a list of directories (User and System) that the OS searches sequentially through in search of the binary that was called from a script or the command line.'
T1574.008,Path Interception by Search Order Hijacking,'Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path'
T1574.009,Path Interception by Unquoted Path,'Adversaries may execute their own malicious payloads by hijacking vulnerable file path references. Adversaries can take advantage of paths that lack surrounding quotations by placing an executable in a higher level directory within the path'
T1574.010,Services File Permissions Weakness,'Adversaries may execute their own malicious payloads by hijacking the binaries used by services. Adversaries may use flaws in the permissions of Windows services to replace the binary that is executed upon service start. These service processes may automatically execute specific binaries as part of their functionality or to perform other actions. If the permissions on the file system directory containing a target binary'
T1574.011,Services Registry Permissions Weakness,'Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services. Adversaries may use flaws in the permissions for Registry keys related to services to redirect from the originally specified executable to one that they control'
T1574.012,COR_PROFILER,'Adversaries may leverage the COR_PROFILER environment variable to hijack the execution flow of programs that load the .NET CLR. The COR_PROFILER is a .NET Framework feature which allows developers to specify an unmanaged (or external of .NET) profiling DLL to be loaded into each .NET process that loads the Common Language Runtime (CLR). These profilers are designed to monitor'
T1574.013,KernelCallbackTable,'Adversaries may abuse the KernelCallbackTable of a process to hijack its execution flow in order to run their own payloads. The KernelCallbackTable can be found in the Process Environment Block (PEB) and is initialized to an array of graphic functions available to a GUI process once user32.dll is loaded.'
T1574.014,AppDomainManager,'Adversaries may execute their own malicious payloads by hijacking how the .NET AppDomainManager loads assemblies. The .NET framework uses the AppDomainManager class to create and manage one or more isolated runtime environments (called application domains) inside a process to host the execution of .NET applications. Assemblies (.exe or .dll binaries compiled to run as .NET code) may be loaded into an application domain as executable code.'
T1562,Impair Defenses,'Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms. This not only involves impairing preventative defenses'
T1562.001,Disable or Modify Tools,'Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities. This may take many forms'
T1562.002,Disable Windows Event Logging,'Adversaries may disable Windows event logging to limit data that can be leveraged for detections and audits. Windows event logs record user and system activity such as login attempts'
T1562.003,Impair Command History Logging,'Adversaries may impair command history logging to hide commands they run on a compromised system. Various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done.'
T1562.004,Disable or Modify System Firewall,'Adversaries may disable or modify system firewalls in order to bypass controls limiting network usage. Changes could be disabling the entire mechanism as well as adding'
T1562.006,Indicator Blocking,'An adversary may attempt to block indicators or events typically captured by sensors from being gathered and analyzed. This could include maliciously redirecting or even disabling host-based sensors'
T1562.007,Disable or Modify Cloud Firewall,'Adversaries may disable or modify a firewall within a cloud environment to bypass controls that limit access to cloud resources. Cloud firewalls are separate from system firewalls that are described in Disable or Modify System Firewall.'
T1562.008,Disable or Modify Cloud Logs,'An adversary may disable or modify cloud logging capabilities and integrations to limit what data is collected on their activities and avoid detection. Cloud environments allow for collection and analysis of audit and application logs that provide insight into what activities a user does within the environment. If an adversary has sufficient permissions'
T1562.009,Safe Mode Boot,'Adversaries may abuse Windows safe mode to disable endpoint defenses. Safe mode starts up the Windows operating system with a limited set of drivers and services. Third-party security software such as endpoint detection and response (EDR) tools may not start after booting Windows in safe mode. There are two versions of safe mode: Safe Mode and Safe Mode with Networking. It is possible to start additional services after a safe mode boot.'
T1562.010,Downgrade Attack,'Adversaries may downgrade or use a version of system features that may be outdated'
T1562.011,Spoof Security Alerting,'Adversaries may spoof security alerting from tools'
T1562.012,Disable or Modify Linux Audit System,'Adversaries may disable or modify the Linux audit system to hide malicious activity and avoid detection. Linux admins use the Linux Audit system to track security-relevant information on a system. The Linux Audit system operates at the kernel-level and maintains event logs on application and system activity such as process'
T1656,Impersonation,'Adversaries may impersonate a trusted person or organization in order to persuade and trick a target into performing some action on their behalf. For example'
T1525,Implant Internal Image,'Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment. Amazon Web Services (AWS) Amazon Machine Images (AMIs)'
T1070,Indicator Removal,'Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses. Various artifacts may be created by an adversary or something that can be attributed to an adversary’s actions. Typically these artifacts are used as defensive indicators related to monitored events'
T1070.001,Clear Windows Event Logs,'Adversaries may clear Windows Event Logs to hide the activity of an intrusion. Windows Event Logs are a record of a computer's alerts and notifications. There are three system-defined sources of events: System'
T1070.002,Clear Linux or Mac System Logs,'Adversaries may clear system logs to hide evidence of an intrusion. macOS and Linux both keep track of system or user-initiated actions via system logs. The majority of native system logging is stored under the /var/log/ directory. Subfolders in this directory categorize logs by their related functions'
T1070.003,Clear Command History,'In addition to clearing system logs'
T1070.004,File Deletion,'Adversaries may delete files left behind by the actions of their intrusion activity. Malware'
T1070.005,Network Share Connection Removal,'Adversaries may remove share connections that are no longer useful in order to clean up traces of their operation. Windows shared drive and SMB/Windows Admin Shares connections can be removed when no longer needed. Net is an example utility that can be used to remove network share connections with the net use \system\share /delete command.'
T1070.006,Timestomp,'Adversaries may modify file time attributes to hide new files or changes to existing files. Timestomping is a technique that modifies the timestamps of a file (the modify'
